date | value
// TEST#0 line format //

 2011-01-03 | 4
2011-01-03  | 4
2011-01-03 / 4
2011-01-03   4
// TEST#1 date format //
2009-01-01 | 4
2022-03-30 | 4
2011-00-03 | 4
2011-13-03 | 4
2011-01-00 | 4
2011-01-32 | 4
2011-04-31 | 4
2011-02-29 | 4
2012-02-29 | 4
yyyy-mm-dd | 4
// TEST#2 value format //
2011-01-03 | -2
2011-01-03 | 2-
2011-01-03 | --212
2011-01-03 | -.212
2011-01-03 | .212
2011-01-03 | 212.
2011-01-03 | ..212
2011-01-03 | -0.000
2011-01-03 | -0
2011-01-03 | 1000.0001
2011-01-03 | | 2
2011-01-03 | a
// TEST#3 if we don't find the requested date, we take the previous one //
2009-01-01 | 4
2022-03-28 | 4
2022-03-29 | 4
2022-03-30 | 4
